FID_1,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,geometry,geometry2,Abelmoschus.esculentus,Actinidia.deliciosa,Anacardium.occidentale,Bertholletia.excelsa.Bonpl,Brassica.napus,Brassica.nigra,Castanea_sativa_Mill,Citrullus.lanatus,Cocos.nucifera,Coffea.arabica,Coffea.canephora,Coffea.liberica,Cola.acuminata,Cola.nitida,Cucumis.melo,Cucumis.sativus,Cucurbita.maxima,Cucurbita.moschata,Cucurbita.pepo,Elettaria.cardamomum,Fagopyrum.esculentum,Fragaria.ananassa,Fragaria.chiloensis,Fragaria.moschata,Fragaria.virginiana,Fragaria.viridis,Fragaria_vesca,Glycine.max,Glycine.soja,Gossypium.arboreum,Gossypium.barbadense,Gossypium.herbaceum,Gossypium.hirsutum,Helianthus.annuus,Malus.domestica,Mangifera.indica,Myristica.fragrans,Persea.americana,Prunus.armeniaca,Prunus.cerasus,Prunus.domestica,Prunus.persica,Prunus_avium,Prunus_spinosa,Pyrus.communis,Ribes.nigrum,Ribes.rubrum,Rubus.chamaemorus,Rubus.flagellaris,Rubus_idaeus,Sesamum.indicum,Sinapis.alba,Solanum.melongena,Theobroma.cacao,Vaccinium.angustifolium,Vaccinium.corymbosum,Vaccinium.oxycoccus,Vaccinium_myrtillus,Vanilla.planifolia,Vanilla.pompona,Vicia.faba,number of crops
776,1274,Nal'chik,RUS-KBK,Kabardino-Balkarskaya Resp.,RS,Russia,Provincial capital,265051,4,"250,000 to 499,999",0,0,UN_Data_2010_2020,c(43.2860043540566, 43.4819970188985),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,11
820,1318,Irbid,JOR-IRB,Irbid,JO,Jordan,Provincial capital,1770158,2,"1,000,000 to 4,999,999",0,1,UN_Data_2010_2020,c(35.8610044384798, 32.5569960359924),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,11
842,1340,Kampala,UGA-CNT,Central,UG,Uganda,National and provincial capital,1507114,2,"1,000,000 to 4,999,999",0,0,UN_Data_2010_2020,c(32.5749964135671, 0.323001036084183),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11
1034,2025,Chandigarh,IND-CHN,Chandigarh,IN,India,Provincial capital enclave,970602,3,"500,000 to 999,999",0,1,UN_Data_2010_2020,c(76.784004416275, 30.7379970079439),1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
1049,2040,Bishkek,KGZ-BSK,Bishkek,KG,Kyrgyzstan,National and provincial capital,991257,3,"500,000 to 999,999",0,1,UN_Data_2010_2020,c(74.7700024231043, 42.8799959304531),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11
1058,2049,Dushanbe,TJK-DSH,Dushanbe,TI,Tajikistan,National and provincial capital,770027,3,"500,000 to 999,999",0,1,UN_Data_2010_2020,c(68.9000042959033, 38.6299979322633),1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11
1110,2101,Bhubaneshwar,IND-ORS,Orissa,IN,India,Provincial capital,885363,3,"500,000 to 999,999",0,0,UN_Data_2010_2020,c(85.8349984444776, 20.264004031035),1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
1120,2111,Mumbai,IND-MHR,Maharashtra,IN,India,Provincial capital,12442373,1,"5,000,000 and greater",48840,0,UN_Data_2010_2020,c(72.8260023344842, 19.077002983341),1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
1206,2197,Saraburi,THA-SRB,Saraburi,TH,Thailand,Provincial capital,239281,5,"100,000 to 249,999",0,1,UN_Data_2010_2020,c(100.914003333663, 14.5130040446734),1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
1208,2199,Pathum Thani,THA-PTH,Pathum Thani,TH,Thailand,Provincial capital,757175,3,"500,000 to 999,999",0,1,UN_Data_2010_2020,c(100.533303376985, 14.0166990241017),1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11
